id	SRX109278	SRX109279	SRX1720957	SRX1720958
FBgn0039790	13.05449208	16.9953524	13.30033769	10.75273701
FBgn0039792	146.430698	245.7470299	856.0942404	870.307748
FBgn0039795	0	0.418171334	0.14524686	0.389663232
FBgn0039796	65.05969237	139.3284568	237.9372669	255.6242774
FBgn0039797	556.8691077	763.1204261	331.002493	296.6525097
FBgn0039798	0	0	0	0.058702979
FBgn0039799	118.7243582	146.827317	104.3164035	107.0162318
FBgn0039800	36.45366714	23.13929045	0.687425122	0.785920907
FBgn0039801	52.62477628	39.24121685	30.65526768	31.46362707
FBgn0039802	13.57801887	12.62786008	20.43326539	18.25493703
FBgn0039804	0.350058117	0.320094359	0.48645249	0.296955938
FBgn0039805	0	0.211252658	0	0
FBgn0039806	0	0	0.062819397	0
FBgn0039807	0	0	0	0
FBgn0039808	0	0.206707329	0.184760632	0.264397032
FBgn0039809	96.81928645	168.5214464	126.8779501	133.3159904
FBgn0039810	22.43963659	31.06226097	40.3325059	45.89141941
FBgn0039811	0	0	0	0
FBgn0039812	9.601112856	20.94630144	54.72826073	55.40685743
FBgn0039816	0	0.935246278	0.912898103	0.68044649
FBgn0039817	0	1.53800723	3.457158498	3.55312079
FBgn0039818	0.180567183	0.197791314	0.144013905	0.102361366
FBgn0039820	0	0	0.113094426	0
FBgn0039821	1.308748399	3.707053534	7.720283568	7.721040401
FBgn0039827	1.0696753	1.168125848	1.010921304	0.971616841
FBgn0039828	121.4922623	131.5735777	49.64931016	44.79947119
FBgn0039829	2.355200399	6.461892996	8.418041307	5.968188932
FBgn0039830	270.5245367	326.3914664	258.1250039	221.3696118
FBgn0039831	32.49886417	49.74464454	17.48268619	16.93549418
FBgn0039832	17.893515	26.57912901	24.24367955	19.80739712
FBgn0039833	0	0	0	0.032974565
FBgn0039835	15.42255277	8.395105986	24.78845518	21.14654932
FBgn0039836	0	0	1.419455942	1.020877285
FBgn0039838	0.169062835	1.101843264	0.559793214	0.707280537
FBgn0039839	0	0	0	0
FBgn0039840	0.229205699	0.124849259	0.476409856	0.331262521
FBgn0039844	0.282533463	0.823788861	0.456994225	0.659849172
FBgn0039846	4.054936862	11.14447033	7.869945733	6.535322728
FBgn0039848	0	0.824375098	0.977546667	0.94659551
FBgn0039849	39.2915717	34.69836183	20.15144803	19.21126561
FBgn0039850	56.54690479	64.57774533	57.64279172	64.19346439
FBgn0039851	0	0	0.023550512	0.040836272
FBgn0039852	0.045437458	0.148821553	0.064519643	0.056434561
FBgn0039854	1.601251609	1.459242992	1.096377968	1.991932177
FBgn0039855	42.38594921	102.3003974	78.91563774	80.01887391
FBgn0039856	49.58706189	42.74232028	40.35304941	48.05683174
FBgn0039857	611.6710487	398.4749425	157.2550519	138.4436167
FBgn0039858	94.05974996	305.8590927	82.78625655	80.10343548
FBgn0039859	12.50179173	28.49386492	12.76165018	13.86061189
FBgn0039860	2.189220735	2.718974767	4.753387024	3.252469078
FBgn0039861	11.16557704	28.83653152	11.4747323	8.457167499
FBgn0039862	0.510532243	0.958208956	0.48792907	0.409670064
FBgn0039863	3.971257442	19.05109682	16.95991268	15.43264028
FBgn0039864	0.534753227	1.153018431	0.52078629	0.231107668
FBgn0039867	17.08553392	11.90686482	7.306561417	7.830351853
FBgn0039868	7.536913961	13.13830868	11.51495626	8.24869776
FBgn0039869	639.7526387	190.055663	90.5673332	104.3530245
FBgn0039870	7.292598876	13.67389692	4.075349479	4.711662369
FBgn0039872	21.13038608	6.925352967	0.611675826	0.914229031
FBgn0039873	6.349136306	6.561176975	0	0.106725682
FBgn0039875	37.33771598	119.8005938	111.8714852	101.4200615
FBgn0039876	5.123307192	2.662408346	11.56380985	9.115699723
FBgn0039877	12.75440711	10.37937224	17.14667098	17.22896734
FBgn0039879	0.478650687	2.170487429	1.900934713	2.20600471
FBgn0039881	165.308959	369.1714646	241.0572024	235.4318378
FBgn0039882	4.081256366	7.466592188	20.25091331	19.83079852
FBgn0039883	0.017652346	0.242181886	0.282160058	0.314006819
